Close,Volume,Open,High,Low
148.89,73779110,146.19,149.05,145.84
145.86,48493460,146.05,146.72,145.53
145.6,69023080,146.44,147.71,145.3
146.09,48908690,146.2,146.7,145.52
146.14,54126810,146.35,147.11,145.63
147.06,46397670,146.98,147.84,146.17
146.95,56368270,147.27,147.79,146.28
147.36,64786620,145.81,148.05,145.18
145.52,62879960,146.36,146.95,145.25
145.86,70440630,144.38,146.33,144.11
145.64,56699480,144.69,146.55,144.58
144.98,118931200,144.81,146.97,142.54
146.77,104818600,149.12,149.21,145.55
148.99,72434090,148.27,149.83,147.7
148.56,71447420,147.55,148.72,146.92
146.8,77338160,145.94,148.2,145.81
145.4,74993460,145.53,146.13,144.63
146.15,96350040,143.46,147.1,142.96
142.45,121434600,143.75,144.07,141.67
146.39,93251430,148.46,149.76,145.88
148.48,106820300,149.24,150,147.09
149.15,127050800,148.1,149.57,147.68
145.64,100827100,144.03,147.46,143.63
144.5,76299720,146.21,146.32,144
145.11,99890800,142.75,145.65,142.65
143.24,105575500,141.58,144.06,140.67
144.57,104911600,143.54,144.89,142.66
142.02,108181800,140.07,143.15,140.07
139.96,78945570,137.9,140,137.75
137.27,52485780,136.6,137.33,135.76
136.96,63261390,136.17,137.41,135.87
136.33,64556080,134.8,136.49,134.35
134.78,62111300,133.41,135.25,133.35
133.11,70783750,133.46,133.89,132.81
133.41,68711000,134.45,134.64,132.93
133.7,60214200,133.77,134.32,133.23
133.98,74783620,132.13,134.08,131.62
132.3,79663320,130.3,132.41,129.21
130.46,108953300,130.71,131.51,130.24
131.79,96721670,129.8,132.55,129.65
130.15,91815030,130.37,130.89,128.46
129.64,62746330,129.94,130.6,129.39
130.48,96906490,127.82,130.54,127.07
127.35,53522370,126.53,127.44,126.1
126.11,71186420,127.02,128.19,125.94
127.13,56877940,127.21,127.75,126.52
126.74,74403770,126.6,128.46,126.21
125.9,71057550,126.17,126.32,124.83
125.89,75169340,124.07,126.16,123.85
123.54,76229170,124.68,124.85,123.13
125.06,59278860,124.28,125.24,124.05
124.28,67637120,125.08,125.35,123.94
124.61,71311110,125.57,125.8,124.55
125.28,94625600,126.44,127.64,125.08
126.85,56575920,126.96,127.39,126.42
126.9,72009480,127.82,128.32,126.32
